method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
WGAN-GP,9,200,0.17186645790934563,1.0,0.0,0.13712918220383444,0.030612287230277736
WGAN-GP,9,400,0.3409489579498768,1.0,0.0,0.11477508627267426,0.019788233072962385
WGAN-GP,9,800,0.6768239159137011,1.0,0.0,0.11609733437724418,0.014012877351443834
WGAN-GP,9,1000,0.8449540827423334,1.0,0.0,0.14380779408304556,0.02808606760386286
PTGAN-CP,9,0,0.0,1.0,0.0,0.13668541838926182,0.0885599106401035
PTGAN-CP,9,50,0.03821833059191704,1.0,0.0,0.09625357768719563,0.05800617402984629
PTGAN-CP,9,100,0.07623549550771713,1.0,0.0,0.10756140846979145,0.027409273406409123
PTGAN-CP,9,200,0.15090807899832726,1.0,0.0,0.11489493506207837,0.019363088403396695
PTGAN-CP,9,400,0.2973686195909977,1.0,0.0,0.12056674896965681,0.015812635210625856
PTGAN-CP,9,800,0.5877808667719364,1.0,0.0,0.12344473023709272,0.013038430151303505
PTGAN-CP,9,1000,0.7338964510709047,1.0,0.0,0.12569369387689092,0.018727889508080818
