method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
WGAN-GP,7,1200,1.0048581212759018,1.0,0.51275,1.0311997842679288,0.6352744915675298
WGAN-GP,7,1500,1.2548694126307964,2.0,0.396,0.8507701910746714,0.8006859030911282
PTGAN-GP,7,0,0.0,0.0,0.75,1.228065251060153,0.9096434060835847
PTGAN-GP,7,50,0.045446788892149925,0.0,0.62225,1.284118544631203,0.8908285895988458
PTGAN-GP,7,100,0.09065374732017517,0.0,0.4615,1.2846460812369331,0.8251168566845747
PTGAN-GP,7,200,0.17935712449252605,0.0,0.57875,0.940838745440146,0.7182847351000551
PTGAN-GP,7,400,0.355464830994606,2.0,0.43,0.7351053425164085,0.45223859240494985
PTGAN-GP,7,800,0.7052174974232912,2.0,0.707,1.043554260366814,1.3817392521089338
PTGAN-GP,7,1200,1.0535807479172945,3.0,0.503,0.5978415960215063,0.6182977435243755
PTGAN-GP,7,1500,1.3147523738443851,1.0,0.44875000000000004,0.8837288740241631,0.5455660113347424
PTGAN-CP,7,0,0.0,0.0,0.75,1.228065251060153,0.9096434060835847
PTGAN-CP,7,50,0.03786995820701122,0.0,0.749,1.2353901396352336,0.9307385817862746
PTGAN-CP,7,100,0.07545637339353561,0.0,0.601,1.225880234162681,0.8683671075703968
PTGAN-CP,7,200,0.14992795512080193,0.0,0.5,1.0019637017176484,0.7271687035737832
PTGAN-CP,7,400,0.295670622959733,1.0,0.49225,0.8074375595257409,0.5873511649044106
PTGAN-CP,7,800,0.5846714545041323,7.0,0.14825,0.6502426193385977,0.3714783683914373
PTGAN-CP,7,1200,0.8739201221615076,8.0,0.06999999999999998,0.545352242973882,0.2533195706799494
PTGAN-CP,7,1500,1.0911044552922249,8.0,0.047999999999999994,0.47542784171417385,0.21128779488283098
WGAN-GP,8,0,0.0,0.0,0.61375,1.3111108998519792,0.9052625516665118
WGAN-GP,8,50,0.04344149865210056,0.0,0.37249999999999994,1.3369498526526569,0.859409319526452
WGAN-GP,8,100,0.08645599894225597,0.0,0.625,1.097656329609211,0.8108353934280257
